"text","text_en","cmp_code","eu_code"
"ΚΑΛΕΣΜΑ ΤΗΣ ΚΕ ΤΟΥ ΚΚΕ ΠΡΟΣ ΤΗΝ ΕΡΓΑΤΙΚΗ ΤΑΞΗ, ΤΟ ΛΑΟ, ΤΗ ΝΕΟΛΑΙΑ","CALL OF THE KKPE KEK TO THE WORKING CLASS, THE PEOPLE, THE YOUTH",NA,NA
"Καμία αναμονή!","No waiting!",NA,NA
"Αγωνιστική συμπόρευση με το ΚΚΕ παντού για να γίνει ο λαός","Fighting solidarity with the KKE everywhere to become the people",NA,NA
"Η Κεντρική Επιτροπή του ΚΚΕ απευθύνει κάλεσμα στην εργατική τάξη της χώρας, τους αυτοαπασχολούμενους των πόλεων και της υπαίθρου, επαγγελματίες, βιοτέχνες, επιστήμονες και αγρότες, στους νέους και τις νέες που φοιτούν στην Τριτοβάθμια και Δευτεροβάθμια Εκπαίδευση, στις γυναίκες των λαϊκών οικογενειών.","The Central Committee of the KKE appeals to the working class of the country, the self-employed of the cities and the countryside, professionals, craftsmen, scientists and farmers, the young people and young women studying in higher and secondary education, the women of the people's families.","606.2",NA
"Τους καλούμε σε αποφασιστικό, μαζικό και ανυποχώρητο αγώνα για την υπεράσπιση της ζωής τους, του βιοτικού επιπέδου και εισοδήματός τους, για αξιοπρεπή ζωή με σύγχρονα δικαιώματα.","We call them to a determined, mass and unyielding struggle for the defence of their lives, their living standards and income, for a decent life with modern rights.","606.2",NA
"Για ένα μέλλον χωρίς την ανασφάλεια και την αβεβαιότητα του σήμερα.","For a future without the insecurity and uncertainty of today.","606.2",NA
"Τώρα ήρθε η ώρα να φανεί η δύναμη του λαού.","Now is the time to show the power of the people.","606.2",NA
"Η αγανάκτηση και η οργή να γίνει οργανωμένος αγώνας.","The indignation and anger to become an organized struggle.","606.2",NA
"Τους καλούμε να αφήσουν στην άκρη τη λογική της “αναμονής”.","We call on them to put aside the logic of ""wait and see"".","606.2",NA
"Δεν πρόκειται να βγει τίποτε θετικό από τις κινήσεις, τους χειρισμούς και τις επιλογές που κάνει η άρχουσα τάξη και το πολιτικό της προσωπικό, για να εγκλωβίσουν τη λαϊκή δυσαρέσκεια.","Nothing positive is going to come out of the moves, manipulations and choices made by the ruling class and its political staff to encapsulate popular discontent.","305.2",NA
"Ο ίδιος ο λαός μπορεί και πρέπει να γίνει ο πρωτα- γωνιστής των εξελίξεων!","The people themselves can and must become the prime mover of developments!","606.2",NA
"Με ενιαίο πανελλαδικό αγώνα.","With a united nationwide struggle.","606.1",NA
"Με προετοιμασία και οργάνωση “από τα κάτω”.","With preparation and organization ""from below"".","606.2",NA
"Με εστίες αντίστασης και μέτωπα πάλης σε κάθε κλάδο, σε κάθε χώρο δουλειάς και σπουδών, σε κάθε πόλη, γειτονιά και χωριό.","With pockets of resistance and fronts of struggle in every sector, in every place of work and study, in every city, neighbourhood and village.","606.2",NA
"Με προοπτική να συναντηθούν όλοι και όλες στις πανελλαδικές κινητοποιήσεις, στις μαχητικές και μαζικές απεργιακές μάχες του επόμενου διαστήματος.","With the prospect of meeting all and sundry in the nationwide mobilizations, in the militant and mass strike battles of the coming period.","606.2",NA
"Η συνεχώς αυξανόμενη λαϊκή οργή να μην εγκλωβιστεί στην “ακινησία” της αναμονής των βουλευτικών εκλογών.","That the ever-growing popular anger not be trapped in the ""immobility"" of waiting for the parliamentary elections.","606.2",NA
"Να μην παγιδευτεί στα κάλπικα διλήμματα και τις δευτερεύουσες αντιπαραθέσεις μεταξύ των πολιτικών κομμάτων του κατεστημένου.","Not to be trapped in the phony dilemmas and secondary confrontations between the political parties of the establishment.","305.1",NA
"Δεν αρκεί να φύγει μια αντιλαϊκή κυβέρνηση, για να έρθει μια επόμενη που θα συνεχίσει στον ίδιο δρόμο εξυπηρέτησης των αξιώσεων του μεγάλου κεφαλαίου, των δεσμεύσεων της ΕΕ και των ΗΠΑ - ΝΑΤΟ.","It is not enough for an unpopular government to leave, for a new one to come in and continue on the same path of serving the demands of big capital, the commitments of the EU and the US-NATO.","305.1",NA
"Το έργο αυτό το έχουμε ξαναδεί.","We have seen this project before.","305.1",NA
"Αυτό που χρειάζεται σήμερα για να ξαναγεννηθεί η ελπίδα και η αισιοδοξία είναι ένα νέο αγωνιστικό ξεκίνημα, με το ΚΚΕ μπροστά, δυνατό,","What is needed today for the rebirth of hope and optimism is a new start of struggle, with the KKE in front, strong,","305.1",NA
"ενάντια στην ενεργειακή φτώχεια κι ακρίβεια,","against energy poverty and precision,","503",NA
