"text","text_en","cmp_code","eu_code"
"Οι 7+1 ΤΟΜΕΣ του ΜέΡΑ25","The 7+1 TOPICS of MERA25",NA,NA
"7+1 Τομές του ΜέΡΑ25 ως βάση Παλλαϊκής Συστράτευσης – Προϋποθέσεις Κυβερνητικών Συνεργασιών","7+1 Sections of MERA25 as a basis for a Popular Coalition - Preconditions for Governmental Cooperation","H",NA
"• Το ΜέΡΑ25 εργάζεται για μια πλατιά Παλλαϊκή Συστράτευση ρήξης με την ολιγαρχία","- MPA25 is working for a broad Paleo-People's Rally to break with the oligarchy","606.2",NA
"• Το ΜέΡΑ25 προτείνει 7+1 Τομές (βλ. πιο κάτω) ως προαπαιτούμενα για ουσιαστική αλλαγή, κι όχι απλά για εναλλαγή κυβερνήσεων που η ολιγαρχία ανέχεται","- MPA25 proposes 7+1 Intersections (see below) as prerequisites for meaningful change, not just for a change of governments that the oligarchy tolerates.","305.1",NA
"• Το ΜέΡΑ25 δεν θα συμμετάσχει σε καμία κυβερνητική συμμαχία η οποία δεν θα έχει προεκλογικά σφυρηλατήσει κοινό κυβερνητικό πρόγραμμα στη βάση των 7+1 Τομών","- MPA25 will not participate in any governmental alliance that has not forged a common governmental programme on the basis of the 7+1 Tomisma","305.1",NA
"Άμεση κατάργηση του Χρηματιστηρίου Ενέργειας και Επανεθνικοποίηση της ΔΕΗ Πρώτο βήμα: Άμεση Κατάργηση του Χρηματιστήριου Ενέργειας (που εισήγαγε ο ΣΥΡΙΖΑ, και διαχειρίζεται η «Μητσοτάκης ΑΕ» με αποτέλεσμα την χονδρική τιμή να ορίζουν οι ολιγάρχες πάνω από το κόστος της πιο ακριβής κιλοβατώρας) με άμεση εισαγωγή διαφορετικών πλαφόν χονδρικής ανάλογα με το μέσο κόστος παραγωγής της κάθε μονάδας παραγωγής.","Immediate abolition of the Energy Exchange and renationalization of the PPC First step: Immediate Abolition of the Energy Exchange (introduced by SYRIZA, and managed by ""Mitsotakis SA"" with the result that the wholesale price is set by the oligarchs above the cost of the most expensive kilowatt-hour) with immediate introduction of different wholesale caps depending on the average production cost of each production unit.","413",NA
"Δεύτερο βήμα: Κοινωνικοποίηση ΔΕΔΔΗΕ, ΔΕΗ, ΑΔΜΗΕ","Second step: Socialisation of TEN-E, PPC, ADMIE","413",NA
"και επανασύσταση Ενιαίας ΔΕΗ ως παραγωγό, μεταφορέα και πάροχο απο-εμπορευματοποιημένου ηλεκτρικού ρεύματος στο πλαίσιο μιας Ευρωπαϊκής Κοινωνικοποιημένης Ένωσης Πράσινης Ενέργειας.","and re-establishment of a Single PPC as producer, transporter and provider of de-commodified electricity within a European Socialised Green Energy Union.","416.2",NA
"Αυτόματη Τιμαριθμική Αναπροσαρμογή του Κατώτατου Μισθού,","Automatic Indexation of the Minimum Wage,","412",NA
"μείωση ΦΠΑ και Φόρων Αυτόματη Τιμαριθμική Αναπροσαρμογή του Κατώτατου Μισθού με αναδρομική ισχύ από τις αρχές του 2021.","reduction of VAT and Taxes Automatic Indexation of the Minimum Wage with retroactive effect from the beginning of 2021.","412",NA
"Μείωση συντελεστών ΦΠΑ από 24% στο 15%,","Reduction of VAT rates from 24% to 15%,","402",NA
