"text","text_en","cmp_code","eu_code"
"ΓΙΑ ΜΙΑ ΕΛΛΑΔΑ","FOR ONE GREECE",NA,NA
"ΜΕ ΑΞΙΟΠΡΕΠΕΙΑ ΚΑΙ ΑΥΤΟΠΕΠΟΙΘΗΣΗ","WITH DIGNITY AND SELF-CONFIDENCE",NA,NA
"Προοίμιο στο Πρόγραμμα του ΠΑΣΟΚ-ΚΙΝΑΛ","Preamble to the PASOK-KINAL Programme","H",NA
"Η νέα σοσιαλδημοκρατία","The new social democracy","H",NA
"Οι πολλαπλές κρίσεις των τελευταίων δεκαπέντε ετών κατέδειξαν ότι η αυτορρύθμιση των αγορών όχι μόνο δεν είναι αποτελεσματική, αλλά ούτε αυξάνει την κοινωνική ευημερία ούτε μπορεί να προσφέρει δημόσια αγαθά σε κρίσιμες περιστάσεις, όπως αυτή της πανδημίας ή των επιπτώσεων της κλιματικής αλλαγής.","The multiple crises of the last fifteen years have shown that the self-regulation of markets is not only ineffective, but neither increases social welfare nor can it deliver public goods in critical circumstances, such as that of a pandemic or the effects of climate change.","412",NA
"Το μεγάλο ζητούμενο για την ευρωπαϊκή σοσιαλδημοκρατία και τις δυνάμεις του δημοκρατικού σοσιαλισμού ανά τον κόσμο είναι να ανακτήσουμε την κυριαρχία μας στο πεδίο των ιδεών, προϋπόθεση για την επικράτησή μας στο πεδίο της πολιτικής και της διακυβέρνησης.","The great challenge for European social democracy and the forces of democratic socialism around the world is to regain our dominance in the field of ideas, a prerequisite for our dominance in the field of politics and governance.","305.1",NA
"Η σύγχρονη σοσιαλδημοκρατία έχει ως πρωταρχικό καθήκον την αναζήτηση μιας νέας πολιτικής σύνθεσης, που προσελκύει τους χαμένους της παγκοσμιοποίησης, αυτούς που βρίσκονται «εκτός» ή στις παρυφές του εργασιακού και προνοιακού συστήματος,","Modern social democracy has as its primary task the search for a new political composition, attracting the losers of globalisation, those who are 'outside' or on the margins of the labour and welfare system,","503",NA
"αλλά και τα δυναμικά μεσοστρώματα","but also the dynamic middle classes","704",NA
"και τις νέες γενιές που διατυπώνουν προωθημένα πολιτισμικά και αξιακά ζητήματα και αναζητούν πολιτική εκπροσώπηση.","and the new generations who are articulating advanced cultural and value issues and seeking political representation.","706",NA
"Το νέο κοινωνικό συμβόλαιο δεν μπορεί παρά να οργανωθεί με επίκεντρο έναν νέο συμβιβασμό κεφαλαίου- εργασίας, αλλά επ’ ωφελεία του ανίσχυρου μέρους, του κόσμου της εργασίας.","The new social contract can only be organised around a new capital-labour compromise, but for the benefit of the powerless party, the world of work.","701",NA
"Με την επεξεργασία μιας σύγχρονης πολιτικής ταυτότητας που να συλλαμβάνει και να δίνει πολιτικό σχήμα στις νέες αξιακές τάσεις της εποχής μας.","By elaborating a modern political identity that captures and gives political shape to the new value trends of our time.","701",NA
"Η κρατική παρέμβαση και η ουσιώδης σημασία του «δημοσίου» επανέρχεται στο προσκήνιο για να διασώσει τις οικονομίες, να προσφέρει δημόσια αγαθά και υπηρεσίες στους πολίτες και να εγγυηθεί τη δίκαιη και αποτελεσματική μετάβαση στην πράσινη και ψηφιακή εποχή.","State intervention and the essential importance of the 'public' is brought back to the fore to rescue economies, provide public goods and services to citizens and guarantee a just and efficient transition to the green and digital era.","416.2",NA
"Αυτό γίνεται ακόμη πιο επιτακτικό στο πλαίσιο της διαμόρφωσης ενός νέου παγκόσμιου γεωπολιτικού χάρτη και των μεγάλων προκλήσεων που καλείται να αντιμετωπίσει η ανθρωπότητα.","This becomes all the more urgent in the context of the shaping of a new global geopolitical map and the major challenges facing humanity.","107",NA
"Η κατάσταση της δημοκρατίας στον κόσμο γίνεται χρόνο με τον χρόνο χειρότερη, το μεγαλύτερο μέρος του κόσμου ζει πλέον σε χώρες με αυταρχικά καθεστώτα.","The state of democracy in the world is getting worse year by year, with most of the world now living in countries with authoritarian regimes.","202.1",NA
"Η κλιματική αλλαγή, η εξάντληση των φυσικών πόρων, οι πυρηνικοί εξοπλισμοί, οι εξελίξεις στη βιοτεχνολογία, η πανδημία και οι θηριώδεις κοινωνικές ανισότητες περιπλέκονται με την ωμή παραβίαση του διεθνούς δικαίου, την ανάδυση οικονομικών εθνικισμών και έναν αναγεννώμενο αλυτρωτισμό στην Ανατολική Ευρώπη και τα Βαλκάνια.","Climate change, the depletion of natural resources, nuclear armaments, developments in biotechnology, pandemics and savage social inequalities are complicated by the gross violation of international law, the emergence of economic nationalisms and a resurgent irredentism in Eastern Europe and the Balkans.","107",NA
"Ελλάδα","Greece","H",NA
"Στη νέα παγκόσμια και ευρωπαϊκή πραγματικότητα, η Ελλάδα καλείται να δώσει τις δικές της απαντήσεις, με τις ιδιαιτερότητες και τις αδυναμίες της, αλλά και με το κεκτημένο του ισότιμου μέλους της Ευρωπαϊκής Ένωσης και της Ευρωζώνης.","In the new global and European reality, Greece is called upon to give its own answers, with its specificities and weaknesses, but also with the acquis of an equal member of the European Union and the Eurozone.","108",NA
"Η μεγάλη αύξηση του πληθωρισμού και της ακρίβειας περισφίγγει ολοένα και περισσότερο την ελληνική, αλλά και τις ευρωπαϊκές οικονομίες.","The sharp rise in inflation and inflationary pressures are increasingly squeezing the Greek and European economies.","412",NA
"Οι κοινωνικές ανισότητες διευρύνονται,","Social inequalities are widening,","503",NA
"χιλιάδες μικρές και μεσαίες επιχειρήσεις πτωχεύουν, με αποτέλεσμα την κατάργηση πολλών θέσεων εργασίας.","thousands of small and medium-sized enterprises are going bankrupt, resulting in the elimination of many jobs.","701",NA
"Η φτώχεια και η ανεργία ξεπερνούν κατά πολύ το μέσο όρο των χωρών της ΕΕ, ενώ η δoμική αλλαγή των εργασιακών σχέσεων δημιουργεί τεράστια προβλήματα στους εργαζόμενους, με το φαινόμενο της αδήλωτης και της «μαύρης» εργασίας να είναι εκτός ελέγχου.","Poverty and unemployment are well above the EU average, while the dynamic change in labour relations is creating huge problems for workers, with the phenomenon of undeclared and black labour out of control.","701",NA
"Οι συνθήκες διαβίωσης επιδεινώνονται για μεγάλα τμήματα του λαού μας με τον πληθωρισμό να διαβρώνει με ταχύτητα την ήδη χαμηλή αγοραστική δύναμη των μισθών και συντάξεων.","Living conditions are deteriorating for large sections of our people with inflation rapidly eroding the already low purchasing power of wages and pensions.","701",NA
"Σήμερα, στην Ελλάδα, πλήττονται περισσότερο οι νέες γενιές, αυτές που κλήθηκαν να πληρώσουν, με τον πλέον επώδυνο τρόπο, τις επιλογές και τα λάθη του παρελθόντος.","Today, in Greece, it is the younger generations who are most affected, those who have been called upon to pay, in the most painful way, for the choices and mistakes of the past.","706",NA
"Στους νέους μας επικρατεί Ανασφάλεια, Απογοήτευση, Φόβος, το αίσθημα της Αδικίας και Αγωνία για το μέλλον τους.","Among our young people there is insecurity, frustration, fear, a sense of injustice and anxiety about their future.","706",NA
"Πιστεύουν ότι η όποια εξέλιξη της χώρας δεν τους αφορά.","They believe that any development of the country does not concern them.","706",NA
"Ένας μεγάλος αριθμός αμφισβητεί τη χρησιμότητα της πολιτικής και των δημοκρατικών θεσμών, την ουσία της δημοκρατίας, δεν συμμετέχει στις εκλογικές διαδικασίες, στη λειτουργία των πολιτικών κομμάτων, στα συνδικάτα, αλλά και στις εθνικές εκλογές.","A large number question the usefulness of politics and democratic institutions, the essence of democracy, do not participate in the electoral process, in the functioning of political parties, in trade unions, and in national elections.","202.1",NA
