"text","text_en","cmp_code","eu_code"
"8ο Συνέδριο θέλουμε την Πατρίδα μας πίσω","8th Congress we want our Homeland back","H",NA
"ΠΟΛΙΤΙΚΕΣ ΘΕΣΕΙΣ","POLITICAL POSITIONS","H",NA
"Για την Χρυσή Αυγή του Ελληνισμού","For the Golden Dawn of Hellenism","H",NA
"Προτάσεις για τη λύση του ελληνικού προβλήματος,","Proposals for the solution of the Greek problem,","606.1",NA
"την ανάταξη της εθνικής μας οικονομίας,","the recovery of our national economy,","408",NA
"την δημογραφική άνθηση","the demographic boom","000",NA
"και τη γεωπολιτική αναβάθμιση του Ελληνισμού","and the geopolitical upgrading of Hellenism","109",NA
"Η  ΘΕΣΗ ΤΗΣ  ΕΛΛΑΔΟΣ - ΓΕΝΙ ΚΕΣ  ΑΡΧ ΕΣ","THE POSITION OF GREECE - GENERAL PRINCIPLES","H",NA
"Κατά την ιστορική διαχρονία του ελληνικού γεωγραφικού χώρου, οι ακόλουθες στρατηγικές επιταγές οριοθετούν το πλαίσιο επιβίωσης του Λαού μας: Εξασφάλιση του ελέγχου στο Αιγαίο πέλαγος, και στις νήσους Κερκύρα, Κρήτη και Ρόδο.","Throughout the historical span of the Greek geographical space, the following strategic imperatives have defined the framework for the survival of our People: Securing control of the Aegean Sea and the islands of Corfu, Crete and Rhodes.","606.1",NA
"Προστασία και διασφάλιση της κοιλάδας του Αξιού.","Protecting and safeguarding the Axios valley.","606.1",NA
"Παγίωση της εθνικής κυριαρχίας στο εσωτερικό της χώρας με εξάλειψη διαλυτικών - αποσχιστικών κέντρων και των αντεθνικών τους δράσεων.","Consolidation of national sovereignty within the country by eliminating divisive - separatist centres and their anti-national actions.","606.1",NA
"Σταθερή και δίκαια φορολογική πολιτική.","A stable and fair tax policy.","503",NA
"Συγκέντρωση εθνικού κεφαλαίου με κεντρικό αναπτυξιακό συντονισμό, με παράλληλη ανάπτυξη περιφερειακών κέντρων.","Concentration of national capital with central development coordination, while developing regional centres.","410",NA
"Επέκταση του ελέγχου και της επιρροής στην Κύπρο, ώστε να εξασφαλιστεί η κυριαρχία μας στην Ανατολική Μεσόγειο.","Extending control and influence in Cyprus to ensure our sovereignty in the Eastern Mediterranean.","101",NA
"Η Χρυσή Αυγή πιστεύει και επιδιώκει την ειρηνική συμβίωση και συνεργασία με τους γειτονικούς λαούς.","Golden Dawn believes in and seeks peaceful coexistence and cooperation with neighbouring peoples.","106",NA
"Όμως η Ειρήνη, τόσο η κοινωνική, όσο και αυτή μεταξύ των Εθνών, εδράζεται στον αμοιβαίο σεβασμό του Διεθνούς Δικαίου καθώς και της αξιοπρέπειας εκάστου Έθνους.","But peace, both social and between nations, is based on mutual respect for international law and the dignity of each nation.","106",NA
"Η  Τουρκία  είναι  η  κυρίαρχη  σε  βάρος  μας  κρατική  απειλή  και αναμφισβήτητα αποτελεί μία ανερχόμενη γεωπολιτική δύναμη, ενώ με έκδηλη επεκτατική πρόθεση επεκτείνει την επιρροή της στα Βαλκάνια, την Μέση Ανατολή και τον Καύκασο.","Turkey is the dominant state threat against us and is undoubtedly a rising geopolitical power, and with obvious expansionist intent it is extending its influence in the Balkans, the Middle East and the Caucasus.","102",NA
"Η Ελλάς πρέπει να  μάθει πώς να επιζεί στηριζόμενη στα γεωπολιτικά μέσα της","Greece must learn how to survive by relying on its geopolitical resources","109",NA
"ή να εφεύρει έναν τρόπο να καταστεί αναγκαία  σε μία ή περισσότερες μεγάλες δυνάμεις,",", or to invent a way to become necessary to one or more great powers,","109",NA
"ή να αναζητήσει μία διαρκή «ειρήνη υποταγής» με την Τουρκία, δηλαδή να συναινέσει στην ολοσχερή αυτοαπαξίωση και ιστορική αυτοκτονία της.","or to seek a permanent ""peace of submission"" with Turkey, i.e. to consent to its total self-disarmament and historical suicide.","102",NA
"Είτε έτσι είτε αλλιώς, τα αμέσως επόμενα χρόνια θα είναι εξόχως καθοριστικά για την Ελληνική Ιστορία.","Either way, the years to come will be extremely decisive for Greek history.","601.1",NA
"Το «πακέτο διάσωσης» από το Διεθνές Νομισματικό Ταμείο και την Ευρωπαϊκή Ένωση παρεσχέθη με επισυναπτόμενα πλέγματα βαρείας λιτότητας, τα οποία οδήγησαν σημαντικό μέρος του πληθυσμού σε ραγδαία πτωχοποίηση.","The ""rescue package"" from the International Monetary Fund and the European Union was provided with attached grids of severe austerity, which led a significant part of the population to rapid impoverishment.","103.2",NA
"Τα   αντιλαϊκά   μέτρα   των   ΔΝΤ-ΕΕ,   ήτοι   το   εκάστοτε «Μνημόνιο», αποδυναμώνουν την κεντρική διαχείριση της κυβέρνησης και υπονομεύουν τον έλεγχό της.","The anti-people's measures of the IMF-EU, i.e. the ""Memorandum"", weaken the central administration of the government and undermine its control.","110",NA
"Η συνέχισή τους θα αναγκάσει την  Ελλάδα να αντιμετωπίσει μια ολοκληρωτική κατάρρευση του πολιτικού ελέγχου και έκλυση κοινωνικής βίας.","Their continuation will force Greece to face a total collapse of political control and an outbreak of social violence.","110",NA
"Ο μόνος δρόμος σωτηρίας απαιτεί καταγγελία του χρέους.","The only way of salvation requires the cancellation of the debt.","414",NA
"Για πρώτη φορά από την εθνεγερτική δεκαετία του 1820, η Πατρίδα είναι πραγματικά μόνη της, μάλιστα δε απέναντι σε σωρεία δυσθεώρητων και αλληλοτροφοδοτούμενων προβλημάτων :","For the first time since the nationalist decade of the 1820s, the Homeland is truly alone, and facing a number of immense and mutually reinforcing problems :","109",NA
"1. Η Ελλάς είναι εσωτερικά αποδυναμωμένη λόγω παρατεινόμενης ύφεσης, ανεργίας και κατάρρευσης του βιοτικού επιπέδου.","1. Greece is internally weakened by a prolonged recession, unemployment and a collapse in living standards.","504",NA
"2. Στην Πατρίδα μας ήδη ζει τεράστιος αριθμός λαθρομεταναστών,","2. Our country is already home to a huge number of illegal immigrants,","601.2",NA
"η παρουσία των οποίων εγκυμονεί θανάσιμους κινδύνους για την κοινωνική συνοχή,","whose presence poses deadly risks to social cohesion,","601.2",NA
"για την δημόσια και εθνική ασφάλεια.","public and national security.","605.1",NA
"3. Το κράτος διοικείται από ένα επικινδύνως ανεπαρκές, εθνοαποδομητικό πολιτικό σύστημα.","3. The state is governed by a dangerously inefficient, ethnically deconstructive political system.","608.1",NA
"4. Η ανακάλυψη τεραστίων ενεργειακών αποθεμάτων εντός της ελληνικής ΑΟΖ  εγκυμονεί  τεράστιες  εντάσεις  ή  και  βίαιες  συγκρούσεις  για  την κατανομή τους.","4. The discovery of huge energy reserves within the Greek EEZ poses huge tensions or even violent conflicts over their distribution.","606.1",NA
"5. Ο μεγαλύτερος κίνδυνος για την γεωστρατηγική σταθερότητα στο Αιγαίο και την Ανατολική Μεσόγειο είναι η αναθεωρητική πολιτική της Τουρκίας η οποία φιλοδοξεί να ηγεμονεύσει στην Νοτιοανατολική Μεσόγειο.","5. The greatest danger for geostrategic stability in the Aegean and the Eastern Mediterranean is the revisionist policy of Turkey, which aspires to hegemony in the Southeastern Mediterranean.","102",NA
"Η εσωτερική αποσταθεροποίηση της Τουρκίας προσαυξάνει τον κίνδυνο εξαγωγής της κρίσης προς Δυσμάς.","Turkey's internal destabilisation increases the risk of the crisis spilling over into Dismas.","102",NA
"6. Επίσης, δεν πρέπει να υποτιμάται η περίπτωση εκδήλωσης περαιτέρω συγκρουσιακών τάσεων και ενεργειών από τα δύο άλλα, απροκάλυπτα αναθεωρητικά εις βάρος της Ελλάδος κράτη, την Αλβανία και τα Σκόπια.","6. Also, the possibility of further confrontational tendencies and actions by the two other, overtly revisionist states, Albania and Skopje, against Greece, should not be underestimated.","109",NA
"Το μικρό τους μέγεθος είναι αντιστρόφως ανάλογο προς την ανθελληνική τους επιθετικότητα και τις βλέψεις τους.","Their small size is inversely proportional to their anti-Hellenic aggression and ambitions.","109",NA
"Με την τουρκοαμερικανική συνδρομή έφθασαν να διαθέτουν ένοπλες δυνάμεις όχι κατά πολύ μικρότερες από τις ελληνικές.","With Turkish-American assistance they came to have armed forces not much smaller than the Greek armed forces.","109",NA
"Επιπλέον,   στην   ελληνοσκοπιανή   και   στην   ελληνοαλβανική μεθόριο καταργήθηκαν από τις τελευταίες ξενόδουλες  κυβερνήσεις οι εκεί υπάρχοντες στρατιωτικοί μας σχηματισμοί.","Moreover, on the Greek-Scopian and Greek-Albanian border, our existing military formations there were abolished by the last foreign governments.","109",NA
"7. Ο μέγιστος κίνδυνος είναι να συνδυασθούν μεταξύ τους και να συντονισθούν οι τρεις προαναφερθέντες αναθεωρητισμοί εις βάρος της Ελλάδος.","7. The greatest danger is that the three aforementioned revisionisms will be combined and coordinated to the detriment of Greece.","109",NA
"Η  ΠΟΛΙΤΙΚΗ  ΚΑΤΑΣΤΑΣΗ","THE POLITICAL SITUATION","H",NA
"Βιώνουμε το τέλος της «Μεταπολίτευσης», τις τελευταίες πράξεις ενός δράματος, που οδήγησε την Πατρίδα μας στην ζοφερή οικονομική καταστροφή, διέλυσε τον εθνικό και κοινωνικό ιστό της χώρας, συνέτριψε τα ελληνικά ήθη και επεχείρησε να ξεριζώσει τις παραδοσιακές αξίες.","We are experiencing the end of ""Metapolitics"", the last acts of a drama that led our country to a grim economic disaster, destroyed the national and social fabric of the country, crushed Greek morals and attempted to uproot traditional values.","305.1",NA
"Η Μεταπολίτευση ξεκίνησε με μία εθνική τραγωδία, την «Κυπριακή Καταστροφή» του 1974 που απετέλεσε ταυτόχρονα και εθνική προδοσία, χωρίς ποτέ οι προδότες να περάσουν από δίκη και να λογοδοτήσουν.","The post-independence period began with a national tragedy, the ""Cyprus Catastrophe"" of 1974, which was at the same time a national betrayal, without the traitors ever being tried and held accountable.","601.1",NA
"Οι ίδιοι ξενόδουλοι πολιτικοί έσπρωξαν την Πατρίδα μας στην τότε Ε.Ο.Κ.","The same foreign politicians pushed our country into the then E.O.C.","305.1",NA
"και υποσχέθηκαν στον λαό εύκολο χρήμα και κατανάλωση χωρίς μέτρο.","and promised the people easy money and consumption without moderation.","305.1",NA
"Για να τηρήσουν τις υποσχέσεις αυτές, συνέχιζαν δανειζόμενοι με τοκογλυφικούς όρους και δημιουργώντας μία τεράστια «φούσκα» δημοσίου χρέους.","In order to keep these promises, they continued to borrow on usurious terms and create a huge public debt bubble.","305.1",NA
"Η    Μεταπολίτευση  βασίστηκε  στην  κυριαρχία  μιας  έντονα  κρατικιστικής «πολιτικής οικονομίας» των παροχών και του ρουσφετιού.","The post-communist period was based on the dominance of a strongly statist ""political economy"" of benefits and bribery.","305.1",NA
"Αποδυναμώθηκε και εξοντώθηκε συστηματικά η παραγωγική οικονομία,καθώς ήταν πολύ ευκολότερο να ευημερεί ο εθελόδουλος πολίτης- κομματικός χειροκροτητής,","The productive economy was systematically weakened and eliminated, as it was much easier for the willing citizen-party applauder to prosper","305.1",NA
"μέσω της άμεσης ή έμμεσης κερδοφόρας σχέσης του με το κομματικό κράτος, παρά με την συμμετοχή του στην παραγωγή πραγματικού πλούτου.","through his direct or indirect profitable relationship with the party state than through his participation in the production of real wealth.","304",NA
"Η εθνική κυριαρχία της Ελλάδος έχει περιοριστεί δραματικά.","Greece's national sovereignty has been dramatically reduced.","109",NA
"Ενδεικτικά αναφέρουμε την προς τούτο κυνική ομολογία της Προέδρου της Βουλής Άννας Ψαρούδα-Μπενάκη το 2005, το καθεστώς των μνημονίων και την υπαγωγή  στο  Αγγλικό  δίκαιο,","Indicatively, we mention the cynical confession of the Speaker of the Parliament Anna Psarouda-Benaki in 2005, the status of the memoranda and the subordination to English law,","304",NA
"καθώς  και  την  σταδιακή  επιβολή  γκρίζων ζωνών στο Αιγαίο.","as well as the gradual imposition of grey zones in the Aegean.","304",NA
"Η «κρίση της οικονομίας», δηλαδή το τέλος του πλουτισμού,  ξεδιάλυνε την ομίχλη που θόλωνε την κρίση και νάρκωνε την συνείδηση των Ελλήνων.","The ""crisis of the economy"", i.e. the end of enrichment, cleared the fog that clouded the crisis and dulled the conscience of the Greeks.","601.1",NA
"Η Χρυσή Αυγή έγινε ελπίδα και σύνθημα στο στόμα εκατοντάδων χιλιάδων, ίσως και εκατομμυρίων συμπατριωτών μας.","Golden Dawn became a hope and a slogan in the mouths of hundreds of thousands, perhaps millions of our compatriots.","305.1",NA
"Η Χρυσή Αυγή όμως, είναι πολύ περισσότερο από πολιτικό κόμμα.","But Golden Dawn is much more than a political party.","305.1",NA
"Η ΧΡΥΣΗ ΑΥΓΗ ΕΙΝΑΙ Η ΜΟΝΗ ΕΛΠΙΔΑ ΕΠΙΒΙΩΣΗΣ ΤΟΥ ΕΛΛΗΝΙΣΜΟΥ στους ΔΥΣΚΟΛΟΥΣ ΚΑΙΡΟΥΣ ΠΟΥ ΕΡΧΟΝΤΑΙ.","The GOLDEN WING IS THE ONLY HOPE OF SURVIVING GREECE IN THE DIFFICULT WEATHER THAT IS COMING.","305.1",NA
"Είναι η φυσική έκφραση του Έθνους που περνά απαράλλακτη μέσα από χιλιάδες χρόνια Ιστορίας στο Σήμερα, για να συνεγείρει τον Έλληνα, να αφυπνίσει την συνείδησή του και να τον οδηγήσει στο πεπρωμένο του.","It is the natural expression of the Nation that passes unchanged through thousands of years of history to the present day, to inspire the Greek, to awaken his conscience and lead him to his destiny.","601.1",NA
"ΟΙ ΥΠΑΙΤΙΟΙ ΤΗΣ ΚΑΤΑΣΤΡΟΦΗΣ ΔΕΝ ΕΙΝΑΙ ΔΥΝΑΤΟΝ   ΝΑ ΦΕΡΟΥΝ ΤΗΝ ΚΑΘΑΡΣΗ.","THE PERPETRATORS OF THE DISASTER CANNOT POSSIBLY BRING ABOUT THE CLEANSING.","305.1",NA
"Ο ελληνικός λαός πρέπει να αντιληφθεί ότι πρέπει να μοχθήσει εποικοδομητικά προκειμένου να επιτευχθούν η ανάπτυξη και η ευημερία της Πατρίδας μας.","The Greek people must understand that they must work constructively in order to achieve the development and prosperity of our country.","606.2",NA
"Το δόγμα της Χρυσής Αυγής για την Εθνική Πολιτική Ασφαλείας και την Εξωτερική Πολιτική αποτυπώνεται στο «Στρατηγικό Βάθος Αρχιπελάγους».","Golden Dawn's doctrine on National Security Policy and Foreign Policy is reflected in the ""Strategic Depth of the Archipelago"".","109",NA
"Η Ελλάς διαθέτει ένα τεράστιο στρατηγικό βάθος, που μπορεί να της εξασφαλίσει  ανεξάντλητη  ισχύ  και  διεθνή  επιρροή  :","Greece has a huge strategic depth, which can ensure inexhaustible power and international influence:","109",NA
"Είναι  ο  χώρος  του Αιγαίου και η νοτιοανατολική θαλάσσια προέκτασή του, που φθάνει έως και την μεγαλόνησο Κύπρο.","it is the Aegean Sea and its south-eastern maritime extension, which reaches as far as the great island of Cyprus.","109",NA
"Η γεωπολιτική αξία της εν λόγω περιοχής και οι αναξιοποίητες ακόμη πλουτοπαραγωγικές πηγές τις οποίες περικλείει, μπορούν να λύσουν τα σύγχρονα οικονομικά προβλήματα του κράτους μας,","The geopolitical value of this region and the still untapped resources it encloses can solve the modern economic problems of our state,","109",NA
"αλλά και να του χαρίσουν περίοπτη θέση στη διεθνή οικονομική και στρατηγική σκακιέρα.","but also give it a prominent position in the international economic and strategic chessboard.","109",NA
"Πρωτίστως η Ελλάς πρέπει να ξαναγίνει Κράτος ελεύθερο και κυρίαρχο,","First and foremost, Greece must become a free and sovereign state again,","109",NA
"και να πάψει να αποτελεί ένα θλιβερό κι αδύναμο προτεκτοράτο ξένων δυνάμεων.","and cease to be a sad and weak protectorate of foreign powers.","109",NA
"Το παρόν έντυπο περιέχει συνοπτικά τις πολιτικές μας προτάσεις για εθνική ανάσταση και ανάταση.","This brochure contains a summary of our policy proposals for national resurrection and revival.","305.1",NA
"Ειδικότερα για τα επιβιωτικά ζητήματα της Εθνικής Άμυνας – Ασφάλειας, Αγροτικής Παραγωγής και Υγείας, οι προτάσεις παρατίθενται εκτενέστερα.","Specifically for the survival issues of National Defence - Security, Agricultural Production and Health, the proposals are set out in more detail.","305.1",NA
"Στόχος μας είναι να σταθεί και πάλι ορθός ο Ελληνισμός και να αποκτήσει την διεθνή θέση που του αρμόζει, ως κεντρική δύναμη στον γεωπολιτικά ευαίσθητο χώρο της Ανατολικής Μεσογείου.","Our goal is for Hellenism to stand upright again and gain the international position it deserves as a central power in the geopolitically sensitive area of the Eastern Mediterranean.","601.1",NA
"AOZ –  ΥΔΡΟΓΟΝΑΝΘΡΑΚΕΣ  - 12 ΝΑΥΤΙΚΑ  MIΛΙΑ  - ΚΥΠΡΟΣ","AOZ - HYDROCARBONS - 12 NAUTICAL MILES - CYPRUS","H",NA
"Στόχος της Χρυσής Αυγής είναι η άμεση χάραξη των ορίων της Ελληνικής ΑΟΖ, με βάση την «Αρχή της μέσης γραμμής» και λαμβάνοντας ως ενιαίο σύνολο τα θαλάσσια όρια της Ελλάδος με την Τουρκία, από τις εκβολές του Έβρου μέχρι και το Καστελόριζο.","Golden Dawn's goal is the immediate delineation of the boundaries of the Greek EEZ, based on the ""Principle of the Middle Line"" and taking as a whole the maritime boundaries of Greece with Turkey, from the mouth of Evros to Kastelorizo.","109",NA
"Η επιλογή αυτή είναι εφικτή, και θα ενισχύσει ουσιαστικά την θέση της χώρας μας σε ένα ευρύτερο γεωστρατηγικό πλαίσιο.","This option is feasible, and will substantially strengthen our country's position in a wider geostrategic context.","109",NA
"Η Ελλάς ευρίσκεται σε έναν γεωπολιτικό κόμβο.","Greece is located at a geopolitical hub.","109",NA
"Ενώνει   την   Δύση  με  τον   μεγαλύτερο   ενεργειακό   αποταμιευτήρα   του πλανήτη.","It connects the West with the largest energy reservoir on the planet.","109",NA
"Η Μέση Ανατολή έχει βυθιστεί σε μια μαύρη τρύπα ασάφειας όσον αφορά στην μελλοντική της πορεία.","The Middle East has been plunged into a black hole of ambiguity as to its future course.","109",NA
"Η ενεργειακά πτωχή Ευρώπη σύντομα θα αντιμετωπίσει πρόβλημα ενεργειακής αυτάρκειας.","Energy-poor Europe will soon face a problem of energy self-sufficiency.","109",NA
