Party,Title,Topic,Stance,Content
ΝΔ,Γάμος Ομόφυλων Ζευγαριών (2024),Κοινωνική Πολιτική,ΥΠΕΡ,Το κόμμα ΝΔ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Γάμος Ομόφυλων Ζευγαριών (2024)' που αφορά την κατηγορία: Κοινωνική Πολιτική.
ΕΛΑΣ,Γάμος Ομόφυλων Ζευγαριών (2024),Κοινωνική Πολιτική,ΥΠΕΡ,Το κόμμα ΕΛΑΣ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Γάμος Ομόφυλων Ζευγαριών (2024)' που αφορά την κατηγορία: Κοινωνική Πολιτική.
ΠΑΣΟΚ,Γάμος Ομόφυλων Ζευγαριών (2024),Κοινωνική Πολιτική,ΥΠΕΡ,Το κόμμα ΠΑΣΟΚ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Γάμος Ομόφυλων Ζευγαριών (2024)' που αφορά την κατηγορία: Κοινωνική Πολιτική.
ΚΚΕ,Γάμος Ομόφυλων Ζευγαριών (2024),Κοινωνική Πολιτική,ΚΑΤΑ,Το κόμμα ΚΚΕ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Γάμος Ομόφυλων Ζευγαριών (2024)' που αφορά την κατηγορία: Κοινωνική Πολιτική.
Ελληνική_Λύση,Γάμος Ομόφυλων Ζευγαριών (2024),Κοινωνική Πολιτική,ΚΑΤΑ,Το κόμμα Ελληνική_Λύση ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Γάμος Ομόφυλων Ζευγαριών (2024)' που αφορά την κατηγορία: Κοινωνική Πολιτική.
Πλεύση_Ελευθερίας,Γάμος Ομόφυλων Ζευγαριών (2024),Κοινωνική Πολιτική,ΥΠΕΡ,Το κόμμα Πλεύση_Ελευθερίας ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Γάμος Ομόφυλων Ζευγαριών (2024)' που αφορά την κατηγορία: Κοινωνική Πολιτική.
ΜέΡΑ25,Γάμος Ομόφυλων Ζευγαριών (2024),Κοινωνική Πολιτική,ΥΠΕΡ,Το κόμμα ΜέΡΑ25 ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Γάμος Ομόφυλων Ζευγαριών (2024)' που αφορά την κατηγορία: Κοινωνική Πολιτική.
Φωνή_Λογικής,Γάμος Ομόφυλων Ζευγαριών (2024),Κοινωνική Πολιτική,ΚΑΤΑ,Το κόμμα Φωνή_Λογικής ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Γάμος Ομόφυλων Ζευγαριών (2024)' που αφορά την κατηγορία: Κοινωνική Πολιτική.
Εθνικό_Κόμμα_Έλληνες,Γάμος Ομόφυλων Ζευγαριών (2024),Κοινωνική Πολιτική,ΚΑΤΑ,Το κόμμα Εθνικό_Κόμμα_Έλληνες ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Γάμος Ομόφυλων Ζευγαριών (2024)' που αφορά την κατηγορία: Κοινωνική Πολιτική.
ΝΔ,Ίδρυση Μη Κρατικών Πανεπιστημίων (2024),Παιδεία,ΥΠΕΡ,Το κόμμα ΝΔ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Ίδρυση Μη Κρατικών Πανεπιστημίων (2024)' που αφορά την κατηγορία: Παιδεία.
ΕΛΑΣ,Ίδρυση Μη Κρατικών Πανεπιστημίων (2024),Παιδεία,ΚΑΤΑ,Το κόμμα ΕΛΑΣ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ίδρυση Μη Κρατικών Πανεπιστημίων (2024)' που αφορά την κατηγορία: Παιδεία.
ΠΑΣΟΚ,Ίδρυση Μη Κρατικών Πανεπιστημίων (2024),Παιδεία,ΚΑΤΑ,Το κόμμα ΠΑΣΟΚ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ίδρυση Μη Κρατικών Πανεπιστημίων (2024)' που αφορά την κατηγορία: Παιδεία.
ΚΚΕ,Ίδρυση Μη Κρατικών Πανεπιστημίων (2024),Παιδεία,ΚΑΤΑ,Το κόμμα ΚΚΕ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ίδρυση Μη Κρατικών Πανεπιστημίων (2024)' που αφορά την κατηγορία: Παιδεία.
Ελληνική_Λύση,Ίδρυση Μη Κρατικών Πανεπιστημίων (2024),Παιδεία,ΚΑΤΑ,Το κόμμα Ελληνική_Λύση ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ίδρυση Μη Κρατικών Πανεπιστημίων (2024)' που αφορά την κατηγορία: Παιδεία.
Πλεύση_Ελευθερίας,Ίδρυση Μη Κρατικών Πανεπιστημίων (2024),Παιδεία,ΚΑΤΑ,Το κόμμα Πλεύση_Ελευθερίας ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ίδρυση Μη Κρατικών Πανεπιστημίων (2024)' που αφορά την κατηγορία: Παιδεία.
ΜέΡΑ25,Ίδρυση Μη Κρατικών Πανεπιστημίων (2024),Παιδεία,ΚΑΤΑ,Το κόμμα ΜέΡΑ25 ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ίδρυση Μη Κρατικών Πανεπιστημίων (2024)' που αφορά την κατηγορία: Παιδεία.
